고문헌자료아이디,한약재아이디,한의서명,수록위치,고문헌원문,번역문,번역문출처
CLTX699,KMH158,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 當歸 《本經》中品 > 〔附方〕,"婦人血氣臍下氣脹, 月經不利, 血氣上攻欲嘔, 不得睡. 當歸四錢, 乾漆燒存性二錢, 爲末, 煉蜜丸梧子大. 每服十五丸, 溫酒下.《永類方》","부인의 혈과 기에 병이 들었을 때:배꼽 아래의 기가 팽창하고 월경이 잘 나오지 않으며, 혈기가 상부를 공격하여 구역질이 나려 하고 잠을 못 자는 증상이다. 당귀 4냥, 건칠(약성이 남도록 태운다) 2돈을 가루 내고 졸인 꿀에 개어 벽오동씨만 한 환약을 만든다. 이것을 15환씩 따뜻한 술로 복용한다.《영류방》",한의학고전DB
CLTX700,KMH158,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 當歸 《本經》中品 > 〔附方〕,"墮胎下血不止. 當歸焙一兩, 蔥白一握, 每服五錢, 酒一盞半, 煎八分, 溫服.《聖濟總錄》","낙태한 뒤에 하혈이 멎지 않는 증상:당귀(불기운에 말린다) 1냥, 총백 1줌을 5돈씩 술 1잔 반을 넣고 10분의 8이 될 때까지 달인 다음 따뜻하게 하여 복용한다.《성제총록》",한의학고전DB
CLTX701,KMH158,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 當歸 《本經》中品 > 〔附方〕,"妊娠胎動神妙. 佛手散. 治婦人妊娠傷動, 或子死腹中, 血下疼痛, 口欲死. 服此探之, 不損則痛止, 已損便立下, 此乃徐玉神驗方也. 當歸二兩, 芎一兩, 爲粗末, 每服三錢, 水一盞, 煎令泣泣欲乾, 投酒一盞, 再煎一沸, 溫服, 或灌之. 如人行五里, 再服. 不過三五服, 便效.《張文仲備急方》","임신부의 태동(胎動):불수산(佛手散)을 쓰면 신묘한 효과가 있다. 부인이나 임신부가 상하여 생긴 태동이나 태아가 배 속에서 죽어서 하혈이 나고 아파서 이를 악물고 죽으려 하는 것을 치료한다. 이약을 복용하여 살펴보는데, 태아가 손상을 입지 않았으면 통증이 멎고, 손상을 입었다면 곧바로 떨어져 나온다. 이는 바로 서왕(徐王)의 신묘한 효험이 있는 처방이다. 당귀 2냥, 궁궁 1냥을 거칠게 가루 내고 3돈씩 물 1잔을 넣고 바작바작 달여 물이 마르려 할 때 술 1잔을 넣고 다시 달여 끓으면 따뜻하게 하여 복용하거나 부어 준다. 사람이 5리(里)를 갈 시간 정도에 다시 복용한다. 불과 3-5차례만 복용하면 바로 낫는다.《장문중비급방》",한의학고전DB
CLTX702,KMH158,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 當歸 《本經》中品 > 〔附方〕,"産難胎死, 橫生倒生用當歸三兩, 芎一兩, 爲末. 先以大黑豆炒焦, 入流水一盞, 童便一盞, 煎至一盞, 分爲二服. 未效再服.《婦人良方》","난산(難産)으로 태아가 죽거나 횡산(橫産)이나 도산(倒産)을 하려 할 때:당귀 3냥, 궁궁 1냥을 가루 낸다. 먼저 크고 검은 콩을 검게 볶은 다음 앞의 약과 함께 흐르는 물 1잔과 동변 1잔을 넣고 1잔이 될 때까지 달인 다음 두 번에 나누어 복용한다. 효과가 나지 않으면 다시 복용한다.《부인양방》",한의학고전DB
CLTX703,KMH158,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 當歸 《本經》中品 > 〔附方〕,"倒産子死不出當歸末, 酒服方寸匕.《子母秘錄》",도산으로 죽은 태아가 나오지 않는 증상:당귀 가루를 술로 1방촌시를 복용한다.《자모비록》,한의학고전DB
CLTX704,KMH158,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 當歸 《本經》中品 > 〔附方〕,"産後血脹, 腹痛引脅當歸二錢, 乾薑五分. 爲末. 每服三錢, 水一盞, 煎八分, 入鹽ㆍ酢少許, 熱服.《婦人良方》","출산 후 혈창(血脹)으로 배가 아프고 옆구리가 당기는 증상:당귀 2돈, 건강(습지에 싸서 굽는다) 5푼. 이상의 약미를 가루 내고 3돈씩 물 1잔을 넣고 10분의 8이 될 때까지 달인 다음 소금과 식초를 약간씩 넣고 뜨겁게 하여 복용한다.《부인양방》",한의학고전DB
CLTX705,KMH158,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 當歸 《本經》中品 > 〔附方〕,"産後腹痛如絞當歸末五錢, 白蜜一合, 水一盞, 煎一盞, 分爲二服. 未效再服.《婦人良方》","출산 후 배가 옥죄듯 아픈 증상:당귀 가루 5돈, 꿀 1홉에 물 2잔을 넣고 1잔이 될 때까지 달인 다음 두 번에 나누어 복용한다. 효과가 나지 않으면 다시 복용한다.《부인양방》",한의학고전DB
CLTX706,KMH158,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 當歸 《本經》中品 > 〔附方〕,"産後自汗壯熱, 氣短, 腰脚痛不可轉. 當歸三錢, 黃ㆍ白芍藥酒炒各二錢, 生薑五片. 水一盞半, 煎七分, 溫服.《和劑局方》","출산 후 자한(自汗):열이 심하게 나고 숨이 짧으며 허리와 다리의 통증으로 움직일 수 없는 증상이다. 당귀 3돈, 황기ㆍ백작약(술에 축여 볶는다) 2돈, 생강 5쪽. 이상의 약미에 물 1잔을 넣고 10분의 7이 될 때까지 달인 다음 따뜻하게 하여 복용한다.《화제국방》",한의학고전DB
CLTX707,KMH158,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 當歸 《本經》中品 > 〔附方〕,"産後中風不省人事, 口吐涎沫, 手足. 當歸ㆍ荊芥穗等分, 爲末, 每服三錢, 水一盞, 酒少許, 童尿少許, 煎七分, 灌之, 下咽卽有生意, 神效.《聖惠方》","출산 후 중풍:인사불성이고 입에서 거품을 토하며 손발을 움직일 수 없는 증상이다. 당귀ㆍ형개수 같은 양을 가루 내고 3돈씩 물 1잔, 술과 동변 약간씩을 넣고 10분의 7이 될 때까지 달인 다음 부어 준다. 속으로 들어가는 즉시 살아나는 신묘한 효과가 있다.《성혜방》",한의학고전DB
CLTX708,KMH158,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 當歸 《本經》中品 > 〔附方〕,"小兒胎寒好啼, 晝夜不止因此成癎. 當歸末一小豆大, 以乳汁灌之, 日夜三四度.《後方》","어린아이가 태아 때 한기를 맞아 잘 울고 밤낮으로 그치지 않는 증상:이로 인해 간질이 된다. 당귀 가루를 소두만 하게 하여 먹이고 젖을 먹이는데, 낮과 밤 동안 서너 차례 먹인다.《주후방》",한의학고전DB
CLTX709,KMH158,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 當歸 《本經》中品 > 〔附方〕,"小兒臍濕不早治, 成臍風或腫赤, 或出水. 用當歸末敷之. 一方, 入麝香少許. 一方, 用胡粉等分. 試之最驗. 若愈後因尿入復作, 再敷卽愈.《聖惠方》","어린아이가 배꼽에 습사(濕邪)가 들었는데, 일찍 치료하지 못하여 제풍(臍風)이 된 증상:벌겋게 붓거나 진물이 나온다. 당귀 가루를 발라 준다. 다른 처방에서는 사향을 약간 넣는다. 또 다른 처방에서는 호분 같은 양을 쓴다. 시험해 보면 매우 효험이 좋다. 나은 뒤에 소변이 들어가 다시 발작할 때는 다시 바르면 즉시 낫는다.《성혜방》",한의학고전DB
CLTX710,KMH158,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 當歸 《本經》中品 > 〔附方〕,"湯火傷瘡, 赤潰爛用此生肌, 拔熱止痛. 當歸ㆍ黃蠟各一兩, 麻油四兩. 以油煎當歸焦黃, 去滓, 納蠟攪成膏, 出火毒, 貼之.《和劑局方》","뜨거운 물이나 불에 데여 벌겋게 타고 짓무르는 증상:이것을 쓰면 새 살이 돋고, 열을 뽑아내어 통증을 멎게 한다. 당귀ㆍ황랍 각 1냥, 참기름 4냥. 참기름에 당귀를 검누렇게 될 때까지 볶은 다음 찌꺼기를 제거하고 황랍과 섞어 고(膏)를 만든다. 화독(火毒)이 빠져나가면 종이에 발라 붙여 준다.《화제국방》",한의학고전DB
CLTX711,KMH158,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 當歸 《本經》中品 > 〔附方〕,"白黃色枯舌縮ㆍ恍惚若語亂者死. 當歸ㆍ白朮二兩, 水煎, 入生汁ㆍ蜜和服.《三十六黃方》",혀가 희거나 누렇게 마르는 증상:혀가 오그라들거나 눈앞이 어질어질하면서 헛소리를 하면 죽게 된다. 당귀ㆍ백출 2냥을 물에 달인 다음 생지황즙과 꿀을 타서 복용한다.《삼십륙황방》,한의학고전DB
CLTX712,KMH165,본초강목,"本草綱目 卷三十一 > 果之三 夷果類三十一種, 內附四種. > 大腹子 宋 《開寶》 校正 自木部移入此. >  〔釋名〕",大腹檳(圖經) 檳,대복빈랑(도경) 저빈랑,한의학고전DB
CLTX713,KMH165,본초강목,"本草綱目 卷三十一 > 果之三 夷果類三十一種, 內附四種. > 大腹子 宋 《開寶》 校正 自木部移入此. >  〔釋名〕","時珍曰大腹以形名, 所以別心檳也.","이시진은 ""대복(大腹)은 모양을 가지고 지은 이름이니, 이 점으로 계심빈랑과 구별한다.""라고 하였다.",한의학고전DB
CLTX714,KMH165,본초강목,"本草綱目 卷三十一 > 果之三 夷果類三十一種, 內附四種. > 大腹子 宋 《開寶》 校正 自木部移入此. >  〔集解〕","志曰大腹生南海諸國, 所出與檳相似, 莖ㆍ葉ㆍ根ㆍ幹小異耳.","마지는 ""대복자는 남해(南海)의 여러 나라에서 나는데, 나는 것이 빈랑과 비슷하고, 줄기, 잎, 뿌리, 가지가 조금 다를 뿐이다.""라고 하였다.",한의학고전DB
CLTX715,KMH165,본초강목,"本草綱目 卷三十一 > 果之三 夷果類三十一種, 內附四種. > 大腹子 宋 《開寶》 校正 自木部移入此. >  〔集解〕","弘景曰向陽者爲檳, 向陰者爲大腹.","도홍경은 ""해를 향하는 것이 빈랑이고, 그늘을 향하는 것이 대복이다.""라고 하였다.",한의학고전DB
CLTX716,KMH165,본초강목,"本草綱目 卷三十一 > 果之三 夷果類三十一種, 內附四種. > 大腹子 宋 《開寶》 校正 自木部移入此. >  〔集解〕","時珍曰大腹子出嶺表ㆍ南, 卽檳中一種腹大形扁而味者, 不似檳尖長味良耳, 所謂檳者是矣. 蓋亦土産之異, 今人不甚分別. 陶氏分陰陽之說, 亦是臆見. 按劉恂《嶺表錄異》云, 交廣生者, 非舶上檳, 皆大腹子也, 彼中悉呼爲檳. 自嫩及老, 采實啖之. 以扶留藤ㆍ瓦屋灰同食之, 以祛. 收其皮入藥, 皮外黑色, 皮內皆筋絲如椰子皮. 又《雲南記》云, 大腹檳每枝有三二百顆, 靑時剖之, 以一片蔞葉及蛤粉卷和食之, 卽減味. 觀此二說, 則大腹子與檳皆可通用, 但力比檳稍劣耳.","이시진은 ""대복자(大腹子)는 영표(嶺表)와 전남(南) 지역에서 나는데, 바로 빈랑 가운데 다른 한 종으로, 배가 크고 모양이 납작하면서 맛이 떫은 것으로, 뾰족하고 길면서 맛이 좋은 빈랑과 비슷하지 않고, 저빈랑(檳)이라고 하는 게 이것이다. 대체로 생산되는 지역도 다르지만 지금 사람들은 크게 분별하지는 않는다. 도씨(陶氏 도홍경(陶弘景))가 해와 그늘로 구별한 설은 억측이다. 유순의 《영표록이》에서는 '교주(交州)와 광주(廣州)에서 나는 것은 외국에서 들어온 빈랑이 아니고, 모두 대복자인데, 저들은 모두 빈랑이라 한다. 여릴 때부터 늙을 때까지 열매를 채취하여 먹는다. 부류 덩굴과 다슬기 태운 재와 함께 먹으면 장기와 전염병을 제거한다. 그 껍질을 모아 약에 넣는데, 껍질의 겉은 검은색이고 안쪽은 모두 야자 껍질처럼 근과 섬유질로 되어 있다.'라고 하였다. 또 《운남기(雲南記)》에서는 '대복빈랑은 가지마다 200-300개의 열매가 있는데, 푸른색일 때 베어 내 쑥잎 1장 및 조개 가루를 싸서 먹으면 떫은맛이 줄어든다.'라고 하였다. 이 두 가지 설을 보면 대복자와 빈랑은 다 통용될 수 있지만 약효는 빈랑에 비해 조금 떨어질 따름이다.""라고 하였다.",한의학고전DB
CLTX717,KMH165,본초강목,"本草綱目 卷三十一 > 果之三 夷果類三十一種, 內附四種. > 大腹子 宋 《開寶》 校正 自木部移入此. >  大腹皮 > 修治","思邈曰鳥多集檳樹上. 凡用檳皮, 宜先以酒洗, 後以大豆汁再洗過, 乾入灰火燒, 切用.","손사막(孫思邈)은 ""짐새[鳥]는 빈랑 나무 위에 많이 모여 있다. 다룰 때는 빈랑 껍질을 우선 술에 씻은 뒤에 대두즙으로 다시 씻어 내고 햇볕에 말렸다가 잿불에 굽고 썰어서 쓴다.""라고 하였다.",한의학고전DB
CLTX718,KMH165,본초강목,"本草綱目 卷三十一 > 果之三 夷果類三十一種, 內附四種. > 大腹子 宋 《開寶》 校正 自木部移入此. >  大腹皮 > 氣味","辛, 微溫, 無毒.",맛은 맵고 성질은 약간 따뜻하고 독이 없다.,한의학고전DB
CLTX719,KMH165,본초강목,"本草綱目 卷三十一 > 果之三 夷果類三十一種, 內附四種. > 大腹子 宋 《開寶》 校正 自木部移入此. >  大腹皮 > 主治","冷熱氣攻心腹, 大腸蠱毒, 痰膈醋心. 以薑ㆍ鹽同煎, 入疏氣藥用之, 良.開寶 下一切氣, 止亂, 通大小腸, 健脾開胃調中.大明 降逆氣, 消肌膚中水氣浮腫, 脚氣壅逆, 滿, 胎氣惡阻脹悶.時珍","냉기나 열기가 가슴과 배를 공격하는 증상, 대장에서 독이 막힌 증상, 흉격의 담으로 가슴 속이 쓰린 증상을 치료한다. 모두 생강ㆍ소금과 함께 물에 달인 다음 기를 소통시키는 약을 넣어 쓰면 좋다.개보 온갖 기를 내리고, 곽란을 멎게 하며, 대장과 소장을 소통시키고, 비(脾)를 튼튼하게 하고 위(胃)를 열어 속을 조화롭게 한다.대명 거슬러 오르는 기를 내리고, 피부 속의 수기와 부종, 각기가 막히고 치미는 증상, 장기와 학질로 속이 막히고 그득한 증상, 임신 후 입덧과 창만 등을 없앤다.시진",한의학고전DB
CLTX720,KMH165,본초강목,"本草綱目 卷三十一 > 果之三 夷果類三十一種, 內附四種. > 大腹子 宋 《開寶》 校正 自木部移入此. > 〔附方〕",漏瘡惡穢大腹皮煎湯洗之.《直指》,누창으로 더러운 것이 생긴 증상 : 대복피 달인 물로 씻어 낸다.《직지》,한의학고전DB
CLTX721,KMH165,본초강목,"本草綱目 卷三十一 > 果之三 夷果類三十一種, 內附四種. > 大腹子 宋 《開寶》 校正 自木部移入此. >  〔附方〕","烏癩風瘡大腹子生者或乾者, 連全皮勿傷動, 以酒一升浸之, 慢火熬乾爲末, 臘脂和敷.《聖濟總錄》",오라풍창(烏癩風瘡) : 대복자 생 것이나 말린 것이나 상관없이 껍질이 온전하여 상하지 않은 것을 술 1되에 담갔다가 약한 불에 마를 때까지 볶아서 가루 낸다. 이것을 섣달에 잡은 돼지의 비계에 개어 환부에 붙여 준다.《성제총록》,한의학고전DB
CLTX722,KMH173,본초강목,本草綱目 卷十七 上 > 草之六 毒草類一十七種 > 大黃 《本經》下品 >  〔釋名〕,黃良(本經) 將軍(當之) 火參(吳普) 膚如(吳普),황량(본경) 장군(당지) 화삼(오보) 부여(오보),한의학고전DB
CLTX723,KMH173,본초강목,本草綱目 卷十七 上 > 草之六 毒草類一十七種 > 大黃 《本經》下品 >  〔釋名〕,"弘景曰大黃, 其色也. 將軍之號, 當取其駿快也.","도홍경(陶弘景)은 ""대황은 그 색으로 말한 것이다. 장군(將軍)이라는 호칭은 약성(藥性)이 빠르다는 데서 따온 것이다.""라고 하였다.",한의학고전DB
CLTX724,KMH173,본초강목,本草綱目 卷十七 上 > 草之六 毒草類一十七種 > 大黃 《本經》下品 >  〔釋名〕,"曰推陳致新, 如戡定禍亂, 以致太平, 所以有將軍之號.","이고(李)는 ""묵은 것을 밀어내어 새로움을 이루는 것이 화란(禍亂)을 평정하여 태평성세를 이루는 것과 같기 때문에 장군이라는 호칭이 있게 되었다.""라고 하였다.",한의학고전DB
CLTX725,KMH173,본초강목,本草綱目 卷十七 上 > 草之六 毒草類一十七種 > 大黃 《本經》下品 > 〔集解〕,"《別錄》曰大黃生河西山谷及西. 二月ㆍ八月采根, 火乾.","《명의별록(名醫別錄)》에서는 ""대황은 하서(河西) 지역의 산골짜기 및 농서(西) 지역에서 난다. 2월과 8월에 뿌리를 채취하여 불기운으로 말린다.""라고 하였다.",한의학고전DB
CLTX726,KMH173,본초강목,本草綱目 卷十七 上 > 草之六 毒草類一十七種 > 大黃 《本經》下品 > 〔集解〕,"普曰生蜀郡北郡或西. 二月卷生黃赤, 其葉四四相當, 莖高三尺許. 三月花黃, 五月實黑, 八月采根. 根有黃汁, 切片陰乾.","오보는 ""촉군(蜀郡) 북부 지역이나 농서(西) 지역에서 난다. 2월에 황적색의 싹이 굽어서 나오고 잎은 4개씩 마주보고 있으며, 줄기의 높이는 3척(尺) 정도이다. 3월에 황색 꽃이 피고 5월에 검은 열매가 맺히며, 8월에 뿌리를 채취한다. 뿌리속에는 노란 즙이 들어있으며, 조각내어 그늘에 말린다.""라고 하였다.",한의학고전DB
CLTX727,KMH173,본초강목,本草綱目 卷十七 上 > 草之六 毒草類一十七種 > 大黃 《本經》下品 > 〔集解〕,"弘景曰今采益州北部汶山及西山者, 雖非河西ㆍ西, 好者猶作紫地錦色, 味甚苦, 色至濃黑. 西川陰乾者勝. 北部日乾, 亦有火乾者, 皮小焦不如, 而耐堪久. 此藥至勁利, 粗者便不中服.","도홍경은 ""지금 익주(益州) 북부에 있는 문산(汶山)과 서산(西山)에서 채취한 대황은 황하의 서부나 감숙현의 동남부지역에서 나는 것과는 같지 않지만 좋은 것은 오히려 자주색 바탕에 노란색을 띠고 있고, 맛은 몹시 쓰고 떫으며 색은 짙은 흑색이다. 서천(西川) 지역에서 생산된 그늘에서 말린 것이 좋다. 북부 지역에서는 햇볕에 말리고 불기운에 말린 것도 있는데, 껍질이 약간 검어서 그늘에서 말린 것만 못하지만 좀이 슬지 않고 오래 간다. 이 약은 품질이 설사시키는 효능이 매우 강해 굵은 것은 복용하기에 알맞지 않다.""라고 하였다.",한의학고전DB
CLTX728,KMH173,본초강목,本草綱目 卷十七 上 > 草之六 毒草類一十七種 > 大黃 《本經》下品 > 〔集解〕,"恭曰葉ㆍ子ㆍ莖似羊蹄, 但莖高六七尺而脆, 味酸堪生啖, 葉粗長而厚. 根紅者亦似宿羊蹄, 大者乃如碗, 長二尺. 其性濕潤而易壞, 火乾乃佳. 作時燒石使熱, 橫寸截著石上爆之, 一日微燥, 以繩穿眼乾. 今出宕州ㆍ州ㆍ西羌ㆍ蜀地者皆佳. 幽以北者漸細, 氣力不及蜀中者. 陶言蜀地不及西, 誤矣.","소공(蘇恭)은 ""잎, 씨, 줄기 모두 양제(羊蹄)와 유사하나 다만 줄기의 높이가 6-7척이면서 무르고, 맛은 시면서 생으로 먹을 수 있으며, 잎은 거칠고 길면서 두껍다. 뿌리가 가는 것도 묵은 양제와 유사하고 큰 것은 사발만 하며 길이는 2척이다. 성질이 습윤(濕潤)하여 쉽게 벌레를 먹으므로, 불기운으로 말린 것이 좋다. 만들 때는 돌을 달구어 뜨겁게 한 다음 (대황을) 1촌 길이로 잘라 돌위에 올려놓고 말리는데 하루 동안 약간 마르게 되면 구멍을 내고 끈으로 꿰어 햇볕에 말린다. 지금은 탕주(宕州), 양주(州), 서강(西羌), 촉(蜀) 지역에서 나는 것 모두 좋다. 멀리 유주(幽州)와 병주(幷州)이북지역에서 나는 것은 점차 가늘어지고 기력이 촉 지역에서 나는 것만 못하다. 도홍경이 촉 지역의 것이 농서에서 나는 것보다 못하다고 한 말은 잘못된 것이다.""라고 하였다.",한의학고전DB
CLTX729,KMH173,본초강목,本草綱目 卷十七 上 > 草之六 毒草類一十七種 > 大黃 《本經》下品 > 〔集解〕,"藏器曰凡用當分別之. 若取和厚深沈ㆍ能攻病者, 可用蜀中似牛舌片緊硬者;若取瀉泄駿快ㆍ推陳去熱者, 當取河西錦紋者.","진장기(陳藏器)는 ""쓸 때는 분별해야 한다. 성질이 화평하고 맛이 강하며 가라앉게 하는 성질이 있어 병을 치료할 수 있는 것을 고를 때는 소의 혀같이 생겨서 질기며 단단한 촉(蜀) 지역의 것을 쓸 수 있다. 빠르게 설사시키거나 열을 제거할 수 있는 것을 고를 때는 하서에서 나는 비단 무늬가 있는 것을 골라야 한다.""라고 하였다.",한의학고전DB
CLTX730,KMH173,본초강목,本草綱目 卷十七 上 > 草之六 毒草類一十七種 > 大黃 《本經》下品 > 〔集解〕,"頌曰今蜀川ㆍ河東ㆍ陝西州郡皆有之, 以蜀川錦紋者佳. 其次秦來者, 謂之土番大黃. 正月內生靑葉, 似麻, 大者如扇. 根如芋, 大者如碗, 長一二尺. 其細根如牛蒡, 小者亦如芋. 四月開黃花, 亦有靑紅似蕎麥花者. 莖靑紫色, 形如竹. 二八月采根, 去黑皮, 切作緊片, 火乾. 蜀大黃乃作片如牛舌形, 謂之牛舌大黃. 二者功用相等. 江淮出者曰土大黃, 二月開花, 結細實.","소송(蘇頌)은 ""지금은 촉천(蜀川), 하동(河東), 섬서(陝西) 지역의 주(州)와 군(郡)에 다 있는데, 비단 무늬가 있는 촉천 지역의 것이 좋다. 그 다음으로 좋은 것은 진(秦) 지역의 농서(西)에서 온 것으로 토번대황(土番大黃)이라 한다. 1월 이내에 푸른 잎이 나면 비마와 유사하고 크기는 부채만 하다. 뿌리는 토란과 같고 큰 것은 사발만 하며 길이는 1-2척이다. 가느다란 뿌리는 우방(牛蒡)과 같고 작은 것은 토란만 하다. 4월에 노란 꽃이 피는데 푸르고 붉은 꽃이 피기도 하여 교맥(蕎麥)의 꽃과 유사하다. 줄기는 청자색이고 줄기의 모양은 대나무와 같다. 2월과 8월에 뿌리를 채취하여 검은 껍질을 제거하고 가로로 잘라서 불기운에 말린다. 촉 지역의 대황은 세로로 잘라서 소의 혀 모양과 같으므로 우설대황(牛舌大黃)이라 한다. 이 두 가지는 효능과 쓰임이 서로 같다. 장강(長江)과 회하(淮河) 지역에서 나는 것을 토대황(土大黃)이라 하는데, 2월에 꽃이 피고 자잘한 열매가 맺힌다.""라고 하였다.",한의학고전DB
CLTX731,KMH173,본초강목,本草綱目 卷十七 上 > 草之六 毒草類一十七種 > 大黃 《本經》下品 > 〔集解〕,"時珍曰宋祁《益州方物圖》言蜀大山中多有之, 赤莖大葉, 根巨若碗, 藥市以大者爲枕, 紫地錦紋也. 今人以莊浪出者爲最, 莊浪卽古涇原西地, 與《別錄》相合.","이시진(李時珍)은 ""송기(宋祁)의 《익주방물도(益州方物圖)》에서는 '촉 지역의 큰 산 속에 많이 나고, 붉은 줄기에 큰 잎이 나고 뿌리는 사발만큼 크며, 약을 파는 데서는 큰 것은 약베개로 삼는데 자색 바탕에 비단무늬가 있다.'라고 하였다. 지금 사람들은 장랑(莊浪)에서 나는 것을 가장 좋게 여기는데, 장랑은 곧 옛날의 경원(涇原)의 농서(西) 지역이니, 《명의별록》에서 기술한 내용과 부합한다.""라고 하였다.",한의학고전DB
CLTX732,KMH173,본초강목,本草綱目 卷十七 上 > 草之六 毒草類一十七種 > 大黃 《本經》下品 > 〔正誤〕,"頌曰鼎州出一種羊蹄大黃, 治疥瘙甚效. 初生苗葉, 累年長大, 卽葉似商陸而狹尖. 四月內抽條出穗, 五七莖相合, 花葉同色. 結實如蕎麥而輕小, 五月熟卽黃色, 呼爲金蕎麥. 三月采苗, 五月采實, 陰乾. 九月采根, 破之亦有錦紋. 亦呼爲土大黃.","소송은 ""정주(鼎州)에서 나는 양제대황(羊蹄大黃)은 개선으로 가려운 증상을 치료하는 데 매우 효과가 있다. 처음 날 때는 싹과 잎이 양제와 같다가 몇 년이 지나 크게 자라면 잎이 상륙과 유사하면서 좁고 뾰족하다. 4월에 줄기에서 이삭이 나오다가 5-7월에 줄기와 합쳐지며 꽃과 잎은 색이 같다. 열매가 맺히면 교맥과 비슷하면서 가볍고 작으며, 5월에 익으면 노란색이 되는데, 금교맥(金蕎麥)이라 부른다. 3월에 싹을 채취하고 5월에 열매를 채취하여 그늘에 말린다. 9월에 뿌리를 채취하여 부러뜨려보면 비단 무늬가 있다. 토대황(土大黃)이라고도 부른다.""라고 하였다.",한의학고전DB
CLTX733,KMH173,본초강목,本草綱目 卷十七 上 > 草之六 毒草類一十七種 > 大黃 《本經》下品 > 〔正誤〕,"時珍曰蘇說卽老羊蹄根也. 因其似大黃, 故謂之羊蹄大黃, 實非一類. 又一種酸模, 乃山大黃也. 狀似羊蹄而生山上, 所謂土大黃或指此, 非羊蹄也. 俱見本條.","이시진은 ""소송의 설에서 말한 것은 곧 묵은 양제의 뿌리이다. 그것이 대황의 뿌리와 유사하기 때문에 양제대황이라 하는 것이지 실제로 대황과 같은 종류는 아니다. 또다른 종류인 산모(酸模)는 바로 산대황(山大黃)이다. 모양은 양제와 유사하지만 산에서 나며, 토대황이라고 말하는 것이 이것을 지칭하지 양제를 지칭하는 것은 아니다. 모두 본 항목에 보인다.""라고 하였다.",한의학고전DB
CLTX734,KMH173,본초강목,本草綱目 卷十七 上 > 草之六 毒草類一十七種 > 大黃 《本經》下品 > 根 > 修治,"雷曰凡使細切, 以紋如水旋斑緊重者, 片蒸之, 從巳至未, 乾, 又臘水蒸之, 從未至亥, 如此凡七次. 乾, 却淡蜜水再蒸一伏時, 其大黃必如烏膏樣, 乃乾用.","뇌효(雷斅)는 ""사용할 때는 잘게 자르는데, 물이 소용돌이 치는 듯한 문양에 반점이 있고 질기면서 무거운 것을 조각조각 썰어서 사시(巳時)부터 미시(未時)까지 찐 다음 햇볕에 말린다. 다시 납일수(臘日水)를 부어 미시부터 해시(亥時)까지 찌는데, 이렇게 일곱 번 한다. 햇볕에 말린 다음 옅은 꿀물을 붓고 다시 24시간[一伏時]을 찌면 대황은 반드시 검은 고(膏)와 같이 되는데, 이것을 그대로 햇볕에 말려 쓴다.""라고 하였다.",한의학고전DB
CLTX735,KMH173,본초강목,本草綱目 卷十七 上 > 草之六 毒草類一十七種 > 大黃 《本經》下品 > 根 > 修治,"藏器曰凡用有蒸ㆍ有生ㆍ有熟, 不得一槪用之.","진장기는 ""사용할 때는 찐 것, 생 것, 익힌 것을 사용하므로 한 가지만 사용할 수 없다.""라고 하였다.",한의학고전DB
CLTX736,KMH173,본초강목,本草綱目 卷十七 上 > 草之六 毒草類一十七種 > 大黃 《本經》下品 > 根 > 修治,"承曰大黃采時, 皆以火石爆乾貨賣, 更無生者, 用之亦不須更多炙蒸煮.","진승(陳承)은 ""대황을 채취할 때 대부분 불에 달군 돌 위에 놓고 말린 후 팔기 때문에 생으로 된 것이 없으므로 사용할 때에도 다시 많이 굽고, 찌고, 삶을 필요가 없다.""라고 하였다.",한의학고전DB
